Date,DBC
2006-02-01,18.463672637939453
2006-03-01,18.97897720336914
2006-04-01,20.310834884643555
2006-05-01,20.231557846069336
2006-06-01,20.05714988708496
2006-07-01,20.5010986328125
2006-08-01,19.819316864013672
2006-09-01,18.986906051635742
2006-10-01,19.177169799804688
2006-11-01,20.43767738342285
2006-12-01,19.96353530883789
2007-01-01,19.484346389770508
2007-02-01,20.4752140045166
2007-03-01,20.613283157348633
2007-04-01,20.76759910583496
2007-05-01,20.7188720703125
2007-06-01,20.873186111450195
2007-07-01,21.271156311035156
2007-08-01,20.865062713623047
2007-09-01,22.83055305480957
2007-10-01,24.771677017211914
2007-11-01,24.61736297607422
2007-12-01,26.267770767211914
2008-01-01,27.033496856689453
2008-02-01,30.046466827392578
2008-03-01,29.771806716918945
2008-04-01,31.569595336914062
2008-05-01,33.7502555847168
2008-06-01,37.270931243896484
2008-07-01,33.62540817260742
2008-08-01,31.428102493286133
2008-09-01,28.20705795288086
2008-10-01,21.132402420043945
2008-11-01,18.518939971923828
2008-12-01,17.914825439453125
2009-01-01,17.1201114654541
2009-02-01,16.156312942504883
2009-03-01,16.908754348754883
2009-04-01,16.891843795776367
2009-05-01,19.639514923095703
2009-06-01,19.123798370361328
2009-07-01,19.4788818359375
2009-08-01,18.692625045776367
2009-09-01,18.650352478027344
2009-10-01,19.943872451782227
2009-11-01,20.848491668701172
2009-12-01,20.814674377441406
2010-01-01,19.182979583740234
2010-02-01,19.977691650390625
2010-03-01,19.88469123840332
2010-04-01,20.66249656677246
2010-05-01,18.56580924987793
2010-06-01,18.236085891723633
2010-07-01,19.352066040039062
2010-08-01,18.76871681213379
2010-09-01,20.383501052856445
2010-10-01,21.28812026977539
2010-11-01,21.19512176513672
2010-12-01,23.291807174682617
2011-01-01,24.12033462524414
2011-02-01,25.12640380859375
2011-03-01,25.79430389404297
2011-04-01,26.96946144104004
2011-05-01,25.574487686157227
2011-06-01,24.483869552612305
2011-07-01,25.599851608276367
2011-08-01,25.498397827148438
2011-09-01,21.77001953125
2011-10-01,23.435529708862305
2011-11-01,23.367895126342773
2011-12-01,22.691545486450195
2012-01-01,23.528528213500977
2012-02-01,24.788230895996094
2012-03-01,24.348602294921875
2012-04-01,24.018882751464844
2012-05-01,21.33884620666504
2012-06-01,21.77001953125
2012-07-01,23.03817367553711
2012-08-01,24.34014892578125
2012-09-01,24.247148513793945
2012-10-01,23.300260543823242
2012-11-01,23.756797790527344
2012-12-01,23.486255645751953
2013-01-01,24.06960678100586
2013-02-01,22.93671989440918
2013-03-01,23.08890151977539
2013-04-01,22.209644317626953
2013-05-01,21.86301612854004
2013-06-01,21.245845794677734
2013-07-01,21.922197341918945
2013-08-01,22.539365768432617
2013-09-01,21.77846908569336
2013-10-01,21.77001953125
2013-11-01,21.567113876342773
2013-12-01,21.693927764892578
2014-01-01,21.034486770629883
2014-02-01,22.09128189086914
2014-03-01,22.08283042907715
2014-04-01,22.328004837036133
2014-05-01,22.006742477416992
2014-06-01,22.471731185913086
2014-07-01,21.40648078918457
2014-08-01,21.16130256652832
2014-09-01,19.631057739257812
2014-10-01,18.870166778564453
2014-11-01,17.263835906982422
2014-12-01,15.598322868347168
2015-01-01,14.710613250732422
2015-02-01,15.361599922180176
2015-03-01,14.431620597839355
2015-04-01,15.463055610656738
2015-05-01,14.972700119018555
2015-06-01,15.217878341674805
2015-07-01,13.29873275756836
2015-08-01,13.264914512634277
2015-09-01,12.808379173278809
2015-10-01,12.850650787353516
2015-11-01,11.996759414672852
2015-12-01,11.295045852661133
2016-01-01,10.804692268371582
2016-02-01,10.779329299926758
2016-03-01,11.235865592956543
2016-04-01,12.326480865478516
2016-05-01,12.436387062072754
2016-06-01,12.977468490600586
2016-07-01,12.072848320007324
2016-08-01,12.16584587097168
2016-09-01,12.690018653869629
2016-10-01,12.647746086120605
2016-11-01,12.859106063842773
2016-12-01,13.391731262207031
2017-01-01,13.315641403198242
2017-02-01,13.29028034210205
2017-03-01,12.859106063842773
2017-04-01,12.51247787475586
2017-05-01,12.334935188293457
2017-06-01,12.216573715209961
2017-07-01,12.71538257598877
2017-08-01,12.766108512878418
2017-09-01,13.019739151000977
2017-10-01,13.535456657409668
2017-11-01,13.662271499633789
2017-12-01,14.042717933654785
2018-01-01,14.45698356628418
2018-02-01,14.03426456451416
2018-03-01,14.355531692504883
2018-04-01,14.845885276794434
2018-05-01,15.243240356445312
2018-06-01,14.947336196899414
2018-07-01,14.583797454833984
2018-08-01,14.693704605102539
2018-09-01,15.192511558532715
2018-10-01,14.338621139526367
2018-11-01,12.926740646362305
2018-12-01,12.40950870513916
2019-01-01,13.291621208190918
2019-02-01,13.668444633483887
2019-03-01,13.617059707641602
2019-04-01,13.779779434204102
2019-05-01,12.957616806030273
2019-06-01,13.471467018127441
2019-07-01,13.317312240600586
2019-08-01,12.700691223144531
2019-09-01,12.880538940429688
2019-10-01,13.128900527954102
2019-11-01,13.111773490905762
2019-12-01,13.878700256347656
2020-01-01,12.68661117553711
2020-02-01,11.84257698059082
2020-03-01,9.789052963256836
2020-04-01,9.484502792358398
2020-05-01,10.250225067138672
2020-06-01,10.711398124694824
2020-07-01,11.259584426879883
2020-08-01,11.78166675567627
2020-09-01,11.364002227783203
2020-10-01,11.007246017456055
2020-11-01,12.129722595214844
2020-12-01,12.791027069091797
2021-01-01,13.217394828796387
2021-02-01,14.55740737915039
2021-03-01,14.452991485595703
2021-04-01,15.584172248840332
2021-05-01,16.184566497802734
2021-06-01,16.750154495239258
2021-07-01,16.967689514160156
2021-08-01,16.689245223999023
2021-09-01,17.559383392333984
2021-10-01,18.57744789123535
2021-11-01,16.950286865234375
2021-12-01,18.081466674804688
2022-01-01,19.508495330810547
2022-02-01,20.77019500732422
2022-03-01,22.67579460144043
2022-04-01,23.95490074157715
2022-05-01,25.059972763061523
2022-06-01,23.18047332763672
2022-07-01,22.71930503845215
2022-08-01,22.379947662353516
2022-09-01,20.80500030517578
2022-10-01,21.857866287231445
2022-11-01,22.1798152923584
2022-12-01,21.578407287597656
2023-01-01,21.770994186401367
2023-02-01,20.79930877685547
2023-03-01,20.781801223754883
2023-04-01,20.624229431152344
2023-05-01,19.30238914489746
2023-06-01,19.87139320373535
2023-07-01,21.60466957092285
2023-08-01,21.525882720947266
2023-09-01,21.849777221679688
2023-10-01,21.455852508544922
