Date,SHY
2002-07-01,51.490055084228516
2002-08-01,51.711822509765625
2002-09-01,52.09454345703125
2002-10-01,52.22161865234375
2002-11-01,52.01981735229492
2002-12-01,52.56753921508789
2003-01-01,52.5292854309082
2003-02-01,52.735206604003906
2003-03-01,52.82932662963867
2003-04-01,52.91400909423828
2003-05-01,53.10668182373047
2003-06-01,53.19477462768555
2003-07-01,52.92564010620117
2003-08-01,52.90114212036133
2003-09-01,53.406639099121094
2003-10-01,53.188819885253906
2003-11-01,53.15711212158203
2003-12-01,53.734737396240234
2004-01-01,53.799869537353516
2004-02-01,54.060211181640625
2004-03-01,54.21250915527344
2004-04-01,53.636688232421875
2004-05-01,53.634056091308594
2004-06-01,53.62355422973633
2004-07-01,53.77275466918945
2004-08-01,54.16987991333008
2004-09-01,54.118492126464844
2004-10-01,54.27836990356445
2004-11-01,53.96601486206055
2004-12-01,54.09131622314453
2005-01-01,54.07139205932617
2005-02-01,53.93223571777344
2005-03-01,53.9409294128418
2005-04-01,54.221744537353516
2005-05-01,54.43620300292969
2005-06-01,54.57054138183594
2005-07-01,54.36586380004883
2005-08-01,54.724205017089844
2005-09-01,54.56043243408203
2005-10-01,54.51561737060547
2005-11-01,54.72798156738281
2005-12-01,54.91914749145508
2006-01-01,55.01498031616211
2006-02-01,55.03353500366211
2006-03-01,55.129295349121094
2006-04-01,55.25102996826172
2006-05-01,55.3432731628418
2006-06-01,55.47420883178711
2006-07-01,55.84303283691406
2006-08-01,56.262969970703125
2006-09-01,56.50992202758789
2006-10-01,56.74582290649414
2006-11-01,57.020179748535156
2006-12-01,57.057701110839844
2007-01-01,57.150428771972656
2007-02-01,57.565887451171875
2007-03-01,57.825279235839844
2007-04-01,58.002044677734375
2007-05-01,57.96294403076172
2007-06-01,58.23833465576172
2007-07-01,58.76485061645508
2007-08-01,59.381202697753906
2007-09-01,59.708953857421875
2007-10-01,59.994354248046875
2007-11-01,61.06996536254883
2007-12-01,61.252925872802734
2008-01-01,62.266510009765625
2008-02-01,62.90983963012695
2008-03-01,63.069305419921875
2008-04-01,62.54111099243164
2008-05-01,62.32461166381836
2008-06-01,62.477684020996094
2008-07-01,62.749000549316406
2008-08-01,63.04161834716797
2008-09-01,63.53203582763672
2008-10-01,64.23383331298828
2008-11-01,64.9438247680664
2008-12-01,65.30945587158203
2009-01-01,65.0240249633789
2009-02-01,64.92977142333984
2009-03-01,65.25399780273438
2009-04-01,65.14627838134766
2009-05-01,65.18280029296875
2009-06-01,65.12126922607422
2009-07-01,65.19300842285156
2009-08-01,65.45977020263672
2009-09-01,65.61437225341797
2009-10-01,65.70353698730469
2009-11-01,66.09537506103516
2009-12-01,65.53974151611328
2010-01-01,66.0611572265625
2010-02-01,66.16709899902344
2010-03-01,65.98904418945312
2010-04-01,66.18714141845703
2010-05-01,66.48692321777344
2010-06-01,66.76548767089844
2010-07-01,66.89496612548828
2010-08-01,67.05475616455078
2010-09-01,67.13432312011719
2010-10-01,67.28160095214844
2010-11-01,67.1438217163086
2010-12-01,67.0337905883789
2011-01-01,67.12165069580078
2011-02-01,67.0401611328125
2011-03-01,66.95298767089844
2011-04-01,67.3106689453125
2011-05-01,67.55560302734375
2011-06-01,67.55247497558594
2011-07-01,67.7457046508789
2011-08-01,67.97924041748047
2011-09-01,67.9101791381836
2011-10-01,67.93351745605469
2011-11-01,67.96400451660156
2011-12-01,67.99943542480469
2012-01-01,68.05573272705078
2012-02-01,67.9599380493164
2012-03-01,67.90763854980469
2012-04-01,68.04454803466797
2012-05-01,68.08329772949219
2012-06-01,68.01715850830078
2012-07-01,68.16716003417969
2012-08-01,68.17200469970703
2012-09-01,68.18331146240234
2012-10-01,68.13646697998047
2012-11-01,68.15265655517578
2012-12-01,68.16962432861328
2013-01-01,68.17768859863281
2013-02-01,68.2188720703125
2013-03-01,68.24151611328125
2013-04-01,68.28832244873047
2013-05-01,68.19696807861328
2013-06-01,68.12996673583984
2013-07-01,68.24069213867188
2013-08-01,68.17435455322266
2013-09-01,68.32643127441406
2013-10-01,68.37333679199219
2013-11-01,68.43727111816406
2013-12-01,68.3158950805664
2014-01-01,68.45353698730469
2014-02-01,68.48023986816406
2014-03-01,68.40572357177734
2014-04-01,68.47946166992188
2014-05-01,68.6018295288086
2014-06-01,68.5474853515625
2014-07-01,68.4947738647461
2014-08-01,68.62216186523438
2014-09-01,68.5718765258789
2014-10-01,68.75037384033203
2014-11-01,68.82267761230469
2014-12-01,68.62124633789062
2015-01-01,69.05191802978516
2015-02-01,68.85118865966797
2015-03-01,69.02272033691406
2015-04-01,69.0446548461914
2015-05-01,69.07317352294922
2015-06-01,69.09513854980469
2015-07-01,69.12615203857422
2015-08-01,69.0919189453125
2015-09-01,69.29574584960938
2015-10-01,69.19784545898438
2015-11-01,69.01908111572266
2015-12-01,68.91620635986328
2016-01-01,69.36552429199219
2016-02-01,69.44317626953125
2016-03-01,69.53884887695312
2016-04-01,69.56420135498047
2016-05-01,69.48155975341797
2016-06-01,69.90015411376953
2016-07-01,69.86736297607422
2016-08-01,69.70413208007812
2016-09-01,69.79441833496094
2016-10-01,69.7607421875
2016-11-01,69.43289947509766
2016-12-01,69.48314666748047
2017-01-01,69.55715942382812
2017-02-01,69.58267974853516
2017-03-01,69.62715148925781
2017-04-01,69.75749206542969
2017-05-01,69.8086166381836
2017-06-01,69.75411224365234
2017-07-01,69.88383483886719
2017-08-01,70.02525329589844
2017-09-01,69.89446258544922
2017-10-01,69.83068084716797
2017-11-01,69.67977905273438
2017-12-01,69.66566467285156
2018-01-01,69.46632385253906
2018-02-01,69.39640808105469
2018-03-01,69.56793975830078
2018-04-01,69.40455627441406
2018-05-01,69.64907836914062
2018-06-01,69.67915344238281
2018-07-01,69.6373062133789
2018-08-01,69.87882232666016
2018-09-01,69.77881622314453
2018-10-01,69.88567352294922
2018-11-01,70.15196228027344
2018-12-01,70.68498229980469
2019-01-01,70.86251068115234
2019-02-01,70.92351531982422
2019-03-01,71.36808013916016
2019-04-01,71.49897766113281
2019-05-01,72.01508331298828
2019-06-01,72.3470458984375
2019-07-01,72.30089569091797
2019-08-01,72.86614990234375
2019-09-01,72.76830291748047
2019-10-01,72.99602508544922
2019-11-01,72.96157836914062
2019-12-01,73.07469177246094
2020-01-01,73.49778747558594
2020-02-01,74.14207458496094
2020-03-01,75.06448364257812
2020-04-01,75.2691421508789
2020-05-01,75.21014404296875
2020-06-01,75.22748565673828
2020-07-01,75.2978744506836
2020-08-01,75.28053283691406
2020-09-01,75.27962493896484
2020-10-01,75.24479675292969
2020-11-01,75.26136779785156
2020-12-01,75.29183959960938
2021-01-01,75.30931091308594
2021-02-01,75.26567077636719
2021-03-01,75.22380065917969
2021-04-01,75.26654815673828
2021-05-01,75.31193542480469
2021-06-01,75.18280029296875
2021-07-01,75.30757904052734
2021-08-01,75.28314208984375
2021-09-01,75.20719909667969
2021-10-01,74.95484161376953
2021-11-01,74.9120864868164
2021-12-01,74.7530746459961
