Date,VT
2008-06-01,33.846946716308594
2008-07-01,32.93824768066406
2008-08-01,32.33018493652344
2008-09-01,29.38548469543457
2008-10-01,23.08616065979004
2008-11-01,21.514745712280273
2008-12-01,22.67899513244629
2009-01-01,20.21717643737793
2009-02-01,18.291736602783203
2009-03-01,19.907730102539062
2009-04-01,22.307659149169922
2009-05-01,24.673206329345703
2009-06-01,24.24685287475586
2009-07-01,26.701805114746094
2009-08-01,27.416963577270508
2009-09-01,28.85417366027832
2009-10-01,28.125255584716797
2009-11-01,29.624351501464844
2009-12-01,30.0867862701416
2010-01-01,28.550691604614258
2010-02-01,29.14417839050293
2010-03-01,31.08527374267578
2010-04-01,30.945615768432617
2010-05-01,27.88736343383789
2010-06-01,27.105337142944336
2010-07-01,29.598037719726562
2010-08-01,28.418025970458984
2010-09-01,31.273778915405273
2010-10-01,32.46078109741211
2010-11-01,31.60194969177246
2010-12-01,34.02292251586914
2011-01-01,34.49979019165039
2011-02-01,35.510528564453125
2011-03-01,35.489192962646484
2011-04-01,37.03373718261719
2011-05-01,36.1938362121582
2011-06-01,35.70982360839844
2011-07-01,34.94110870361328
2011-08-01,32.40718460083008
2011-09-01,28.933727264404297
2011-10-01,32.19365692138672
2011-11-01,31.7950496673584
2011-12-01,31.46824836730957
2012-01-01,33.18813705444336
2012-02-01,34.769561767578125
2012-03-01,35.17768096923828
2012-04-01,34.762290954589844
2012-05-01,31.65772819519043
2012-06-01,33.282859802246094
2012-07-01,33.52336883544922
2012-08-01,34.35417938232422
2012-09-01,35.42169189453125
2012-10-01,35.20780944824219
2012-11-01,35.74618911743164
2012-12-01,36.85715866088867
2013-01-01,38.33382797241211
2013-02-01,38.2144889831543
2013-03-01,39.11381530761719
2013-04-01,40.16123580932617
2013-05-01,39.93678665161133
2013-06-01,38.869895935058594
2013-07-01,40.87715148925781
2013-08-01,39.873531341552734
2013-09-01,42.10152053833008
2013-10-01,43.66278076171875
2013-11-01,44.33732223510742
2013-12-01,45.31131362915039
2014-01-01,43.29746627807617
2014-02-01,45.555416107177734
2014-03-01,45.77708435058594
2014-04-01,46.1146354675293
2014-05-01,47.05824279785156
2014-06-01,48.09659194946289
2014-07-01,47.2541618347168
2014-08-01,48.506229400634766
2014-09-01,46.88811111450195
2014-10-01,47.330745697021484
2014-11-01,47.928688049316406
2014-12-01,46.97880554199219
2015-01-01,46.213008880615234
2015-02-01,48.963600158691406
2015-03-01,48.369285583496094
2015-04-01,49.6022834777832
2015-05-01,49.7672004699707
2015-06-01,48.6622314453125
2015-07-01,48.90745544433594
2015-08-01,45.66435623168945
2015-09-01,43.969791412353516
2015-10-01,47.173526763916016
2015-11-01,47.13377380371094
2015-12-01,46.10435104370117
2016-01-01,43.399864196777344
2016-02-01,42.919761657714844
2016-03-01,46.341548919677734
2016-04-01,46.80744171142578
2016-05-01,47.11269760131836
2016-06-01,47.02547073364258
2016-07-01,48.97711181640625
2016-08-01,49.14716720581055
2016-09-01,49.5297966003418
2016-10-01,48.55305099487305
2016-11-01,49.13094711303711
2016-12-01,50.0220947265625
2017-01-01,51.52275848388672
2017-02-01,52.908607482910156
2017-03-01,53.689781188964844
2017-04-01,54.56239700317383
2017-05-01,55.624332427978516
2017-06-01,55.97545623779297
2017-07-01,57.45918655395508
2017-08-01,57.69957733154297
2017-09-01,58.91564178466797
2017-10-01,60.156944274902344
2017-11-01,61.29826736450195
2017-12-01,62.275691986083984
2018-01-01,65.6888656616211
2018-02-01,62.77048110961914
2018-03-01,61.96763610839844
2018-04-01,62.22853469848633
2018-05-01,62.582008361816406
2018-06-01,62.20943069458008
2018-07-01,63.99844741821289
2018-08-01,64.54956817626953
2018-09-01,64.60075378417969
2018-10-01,59.54887771606445
2018-11-01,60.5797233581543
2018-12-01,56.195701599121094
2019-01-01,60.68552017211914
2019-02-01,62.39387130737305
2019-03-01,63.05816650390625
2019-04-01,65.24716186523438
2019-05-01,61.351806640625
2019-06-01,65.25994110107422
2019-07-01,65.25994110107422
2019-08-01,63.88806915283203
2019-09-01,65.33990478515625
2019-10-01,67.16508483886719
2019-11-01,68.88548278808594
2019-12-01,71.26392364501953
2020-01-01,70.15521240234375
2020-02-01,65.0869369506836
2020-03-01,55.47716522216797
2020-04-01,61.228057861328125
2020-05-01,64.4171142578125
2020-06-01,66.39550018310547
2020-07-01,69.91055297851562
2020-08-01,74.10907745361328
2020-09-01,71.93655395507812
2020-10-01,70.46466064453125
2020-11-01,79.18017578125
2020-12-01,83.08499145507812
2021-01-01,82.89651489257812
2021-02-01,85.11318969726562
2021-03-01,87.53970336914062
2021-04-01,91.15680694580078
2021-05-01,92.59647369384766
2021-06-01,93.69099426269531
2021-07-01,94.26971435546875
2021-08-01,96.4037857055664
2021-09-01,92.44377899169922
2021-10-01,97.20079040527344
2021-11-01,94.65888214111328
2021-12-01,98.26154327392578
2022-01-01,93.76141357421875
2022-02-01,91.16377258300781
2022-03-01,92.88262939453125
2022-04-01,85.36325073242188
2022-05-01,85.78507232666016
2022-06-01,78.8178482055664
2022-07-01,84.32232666015625
2022-08-01,80.90511322021484
2022-09-01,73.19571685791016
2022-10-01,77.86324310302734
2022-11-01,84.31239318847656
2022-12-01,80.5711441040039
2023-01-01,86.73152160644531
2023-02-01,83.97383880615234
2023-03-01,86.36724853515625
2023-04-01,87.59583282470703
2023-05-01,86.53605651855469
2023-06-01,91.5620346069336
2023-07-01,94.97035217285156
2023-08-01,92.27012634277344
2023-09-01,88.34425354003906
2023-10-01,85.7654037475586
2023-11-01,93.49244689941406
2023-12-01,98.31434631347656
2024-01-01,98.31434631347656
2024-02-01,102.72931671142578
2024-03-01,106.00545501708984
2024-04-01,102.20654296875
2024-05-01,106.9072265625
2024-06-01,108.6028060913086
2024-07-01,110.7530746459961
2024-08-01,113.33724975585938
2024-09-01,115.82671356201172
2024-10-01,113.3011703491211
2024-11-01,117.99424743652344
2024-12-01,114.52947998046875
2025-01-01,118.02931213378906
2025-02-01,117.5418701171875
2025-03-01,113.40713500976562
2025-04-01,114.0428695678711
2025-05-01,120.66439819335938
2025-06-01,126.30323791503906
2025-07-01,127.68889617919922
2025-08-01,131.46267700195312
2025-09-01,135.89471435546875
2025-10-01,138.6461181640625
2025-11-01,138.9419708251953
2025-12-01,140.222900390625
2026-01-01,144.58685302734375
2026-02-01,146.96266174316406
2026-03-01,137.82212829589844
2026-04-01,150.65574645996094
2026-05-01,157.55084228515625
2026-06-01,156.9499969482422
2026-07-01,156.1699981689453
